cost_scenario,dist_family,heterogeneity,instance_id,k,method,n,ratio_in_to_bsp,ratio_out_to_bsp,revenue_in_sample,revenue_out_sample,rho
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,50,CPBSD-MILP,5,1.3415883149804149,,6.367534669103083,3.6912351128233682,-0.5
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,50,BSP,5,1.0,,4.7462657493375975,0.0,-0.5
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,50,MB,5,1.4542903905986808,,6.902448670489315,0.0,-0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,50,CPBSD-MILP,5,1.2459822689798634,,6.370637867066902,2.9313961782596376,-0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,50,BSP,5,1.0,,5.112944241399842,0.0,-0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,50,MB,5,1.3523247318473428,,6.9143609502014565,0.0,-0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,50,CPBSD-MILP,5,1.0159899545100184,,18.075042126496886,14.08470470611713,-0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,50,BSP,5,1.0,,17.79057169439627,0.0,-0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,50,MB,5,1.0442180280514695,,18.57723569263076,0.0,-0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,50,CPBSD-MILP,5,1.0853428058444035,,1.132703433181392,0.8602604136669486,-0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,50,BSP,5,1.0,,1.0436365608008447,0.0,-0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,50,MB,5,1.2247926026087885,,1.2782383394809518,0.0,-0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,50,CPBSD-MILP,5,1.2858547223163672,,1.1563219612785303,0.9880277730469857,-0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,50,BSP,5,1.0,,0.8992633002859812,0.0,-0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,50,MB,5,1.362361613407196,,1.2251218006554891,0.0,-0.5
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,50,CPBSD-MILP,5,1.0462966216419107,,2.946600224975429,2.7061091647250857,-0.5
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,50,BSP,5,1.0,,2.8162188083446638,0.0,-0.5
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,50,MB,5,1.0678059895404772,,3.0071753114069772,0.0,-0.5
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvhm,50,CPBSD-MILP,5,1.2513642913291176,,4.307093257839889,2.6742526361284535,-0.5
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvhm,50,BSP,5,1.0,,3.4419179831839175,0.0,-0.5
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvhm,50,MB,5,1.3399652947707903,,4.612050644913922,0.0,-0.5
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvlm,50,CPBSD-MILP,5,1.2441640940533394,,4.74194766785229,2.4287182266971334,-0.5
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvlm,50,BSP,5,1.0,,3.811352289072726,0.0,-0.5
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvlm,50,MB,5,1.4159222408691365,,5.396578473885567,0.0,-0.5
zero,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_zero,50,CPBSD-MILP,5,1.089598394665363,,10.138494770792931,8.449105054845445,-0.5
zero,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_zero,50,BSP,5,1.0,,9.304799658691369,0.0,-0.5
zero,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_zero,50,MB,5,1.1039881190843956,,10.272388273655812,0.0,-0.5
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvhm,50,CPBSD-MILP,5,1.34312716076085,,5.43762577052539,3.8825120618551665,0.0
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvhm,50,BSP,5,1.0,,4.048481729343559,0.0,0.0
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvhm,50,MB,5,1.4635335079250067,,5.9250886671164755,0.0,0.0
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvlm,50,CPBSD-MILP,5,1.3181300816258827,,6.629917307970005,4.076258254360662,0.0
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvlm,50,BSP,5,1.0,,5.0297898518423585,0.0,0.0
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvlm,50,MB,5,1.518290822808868,,7.636683772709429,0.0,0.0
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_zero,50,CPBSD-MILP,5,1.010387820041842,,16.347877203130718,12.396429231039777,0.0
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_zero,50,BSP,5,1.0,,16.17980430767042,0.0,0.0
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.0_full_zero,50,MB,5,1.0444723539135823,,16.89935829109364,0.0,0.0
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvhm,50,CPBSD-MILP,5,1.0353459020085236,,1.1013892973795962,0.8973790308299131,0.0
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvhm,50,BSP,5,1.0,,1.0637887253360945,0.0,0.0
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvhm,50,MB,5,1.2083832929556106,,1.2854645229306814,0.0,0.0
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvlm,50,CPBSD-MILP,5,1.2278417454376422,,0.9918870495271758,0.9659645990504468,0.0
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvlm,50,BSP,5,1.0,,0.8078297168285603,0.0,0.0
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvlm,50,MB,5,1.333685129233248,,1.0773904802869565,0.0,0.0
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_zero,50,CPBSD-MILP,5,1.0614659218442544,,2.929113259824671,2.4419260072055144,0.0
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_zero,50,BSP,5,1.0,,2.7594981615005167,0.0,0.0
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.0_none_zero,50,MB,5,1.0723568104228316,,2.959166646834362,0.0,0.0
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvhm,50,CPBSD-MILP,5,1.1081588478499094,,3.449443078970134,2.1227652144586173,0.0
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvhm,50,BSP,5,1.0,,3.1127695146439254,0.0,0.0
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvhm,50,MB,5,1.2717615052972238,,3.958700443586867,0.0,0.0
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvlm,50,CPBSD-MILP,5,1.471402589614437,,3.193570972290369,2.4363129624106303,0.0
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvlm,50,BSP,5,1.0,,2.1704263638187595,0.0,0.0
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvlm,50,MB,5,1.553366652822814,,3.3714679359635378,0.0,0.0
zero,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero,50,CPBSD-MILP,5,1.0152489931014528,,8.361369568498722,7.567290238454772,0.0
zero,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero,50,BSP,5,1.0,,8.235782182808014,0.0,0.0
zero,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero,50,MB,5,1.0463179201727548,,8.617246484511513,0.0,0.0
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvhm,50,CPBSD-MILP,5,1.14229765986686,,7.95923159290159,3.236056122645976,0.5
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvhm,50,BSP,5,1.0,,6.967738683653852,0.0,0.5
hvhm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvhm,50,MB,5,1.1956685329287675,,8.331105889715424,0.0,0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvlm,50,CPBSD-MILP,5,1.2297599658291682,,6.003168574541236,3.7202667682063146,0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvlm,50,BSP,5,1.0,,4.8815774958925315,0.0,0.5
hvlm,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvlm,50,MB,5,1.343766447289681,,6.559700048824765,0.0,0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_zero,50,CPBSD-MILP,5,1.0442520908622042,,13.495299177075127,11.336665199519926,0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_zero,50,BSP,5,1.0,,12.92341120996225,0.0,0.5
zero,exponential,full,cpbsd_instance_001_N5_K50_exponential_rho0.5_full_zero,50,MB,5,1.0966918026573105,,14.172999136335195,0.0,0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvhm,50,CPBSD-MILP,5,1.1333839317119174,,0.9468906696664008,0.7776964951143608,0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvhm,50,BSP,5,1.0,,0.8354544679631832,0.0,0.5
hvhm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvhm,50,MB,5,1.2606022497524945,,1.0531757818801621,0.0,0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvlm,50,CPBSD-MILP,5,1.2573117441669408,,1.4383005551691488,0.8288688460437849,0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvlm,50,BSP,5,1.0,,1.1439490339940521,0.0,0.5
hvlm,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvlm,50,MB,5,1.3400264781939486,,1.5329219952564193,0.0,0.5
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_zero,50,CPBSD-MILP,5,1.1197332085272191,,2.230682456119773,1.9823333083196528,0.5
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_zero,50,BSP,5,1.0,,1.992155309079188,0.0,0.5
zero,exponential,none,cpbsd_instance_001_N5_K50_exponential_rho0.5_none_zero,50,MB,5,1.1476688401258126,,2.2863345729213913,0.0,0.5
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvhm,50,CPBSD-MILP,5,1.2600243081056037,,3.1670023150128785,2.2820038274327525,0.5
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvhm,50,BSP,5,1.0,,2.51344541104476,0.0,0.5
hvhm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvhm,50,MB,5,1.3193391053958947,,3.31608682006921,0.0,0.5
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvlm,50,CPBSD-MILP,5,1.163615158133894,,6.244001355540573,2.0066835150908107,0.5
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvlm,50,BSP,5,1.0,,5.366036452768599,0.0,0.5
hvlm,exponential,partial,cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvlm,50,MB,5,1.2377078730958095,,6.641585564910805,0.0,0.5
